model,iteration,n_sample,n_clusters,train_time,log_likelihood,mean_max_proba,low_confidence_ratio,n_noise,noise_ratio,inertia
GMM,37,3459,3,0.0042739169439300895,-12177.133459633867,0.928846051118448,0.14137033824804857,,,
GMM,38,3459,3,0.004359000013209879,-12237.61478019804,0.9251087707129754,0.14830875975715524,,,
GMM,39,3459,3,0.005744374939240515,-12277.830527785844,0.9281056390107071,0.14686325527609134,,,
GMM,40,3459,3,0.005059666931629181,-12135.214027295853,0.9251270708793824,0.1477305579647297,,,
GMM,41,3459,3,0.00490404199808836,-12179.829920945567,0.9270460925701084,0.14252674183289968,,,
GMM,42,3459,3,0.00503970799036324,-12248.401500319536,0.9280683656774742,0.14455044810638912,,,
GMM,43,3459,3,0.0055455840192735195,-12107.094149141369,0.9268042678715245,0.14570685169124023,,,
GMM,44,3459,3,0.0046700830571353436,-12290.96907248903,0.928194350268391,0.14021393466319745,,,
GMM,45,3459,3,0.005125374998897314,-12218.532409935948,0.9301437516301312,0.13905753107834634,,,
GMM,46,3459,3,0.0044252920197322965,-12205.046138725596,0.9289559074591289,0.1396357328707719,,,
GMM,47,3459,3,0.004016374936327338,-12258.567686764763,0.9267116891268401,0.1462850534836658,,,
GMM,48,3459,3,0.003453750046901405,-12269.124522529699,0.928279006980065,0.14165943914426135,,,
GMM,49,3459,3,0.004256166983395815,-12229.893942813711,0.9262379776979294,0.14657415437987859,,,
HDBSCAN,0,3459,3,0.04249262495432049,,,,871.0,0.2518068806013299,
HDBSCAN,1,3459,3,0.03901283291634172,,,,808.0,0.23359352413992485,
HDBSCAN,2,3459,3,0.03875691699795425,,,,853.0,0.24660306446949987,
HDBSCAN,3,3459,3,0.03814208402764052,,,,838.0,0.24226655102630817,
HDBSCAN,4,3459,3,0.0389595830347389,,,,848.0,0.24515755998843597,
HDBSCAN,5,3459,3,0.037194791017100215,,,,849.0,0.24544666088464875,
HDBSCAN,6,3459,3,0.03587237501051277,,,,807.0,0.23330442324371206,
HDBSCAN,7,3459,3,0.03513466601725668,,,,851.0,0.2460248626770743,
HDBSCAN,8,3459,3,0.03546329098753631,,,,834.0,0.24111014744145706,
HDBSCAN,9,3459,3,0.03609266702551395,,,,830.0,0.23995374385660595,
HDBSCAN,10,3459,3,0.03576983406674117,,,,831.0,0.24024284475281873,
HDBSCAN,11,3459,3,0.03457495803013444,,,,857.0,0.24775946805435098,
HDBSCAN,12,3459,4,0.03533504100050777,,,,1117.0,0.32292570106967333,
HDBSCAN,13,3459,3,0.035384041955694556,,,,802.0,0.23185891876264816,
HDBSCAN,14,3459,3,0.0360858750063926,,,,849.0,0.24544666088464875,
HDBSCAN,15,3459,3,0.03547150001395494,,,,836.0,0.24168834923388263,
HDBSCAN,16,3459,3,0.03567912499420345,,,,830.0,0.23995374385660595,
HDBSCAN,17,3459,3,0.03639733407180756,,,,843.0,0.24371205550737207,
HDBSCAN,18,3459,3,0.0367922920268029,,,,827.0,0.23908644116796762,
HDBSCAN,19,3459,3,0.03617083397693932,,,,809.0,0.2338826250361376,
HDBSCAN,20,3459,3,0.035985999973490834,,,,829.0,0.23966464296039316,
HDBSCAN,21,3459,3,0.036386042018420994,,,,840.0,0.24284475281873374,
HDBSCAN,22,3459,3,0.03632687497884035,,,,797.0,0.23041341428158427,
HDBSCAN,23,3459,3,0.035802625003270805,,,,805.0,0.2327262214512865,
HDBSCAN,24,3459,3,0.036108584026806056,,,,834.0,0.24111014744145706,
HDBSCAN,25,3459,3,0.0356919999467209,,,,822.0,0.23764093668690373,
HDBSCAN,26,3459,3,0.0359170000301674,,,,866.0,0.250361376120266,
HDBSCAN,27,3459,3,0.03644683305174112,,,,836.0,0.24168834923388263,
HDBSCAN,28,3459,3,0.03578050003852695,,,,844.0,0.24400115640358486,
HDBSCAN,29,3459,3,0.035836667055264115,,,,835.0,0.24139924833766985,
HDBSCAN,30,3459,3,0.03656491590663791,,,,845.0,0.24429025729979764,
HDBSCAN,31,3459,3,0.03614383295644075,,,,822.0,0.23764093668690373,
HDBSCAN,32,3459,3,0.03600629104766995,,,,824.0,0.2382191384793293,
HDBSCAN,33,3459,3,0.03555387503001839,,,,836.0,0.24168834923388263,
HDBSCAN,34,3459,3,0.03476312500424683,,,,811.0,0.23446082682856317,
HDBSCAN,35,3459,3,0.03512729099020362,,,,812.0,0.23474992772477596,
HDBSCAN,36,3459,3,0.03553416708018631,,,,831.0,0.24024284475281873,
HDBSCAN,37,3459,3,0.03473745798692107,,,,819.0,0.2367736339982654,
HDBSCAN,38,3459,3,0.03546883398666978,,,,833.0,0.24082104654524428,
HDBSCAN,39,3459,3,0.03619695792440325,,,,861.0,0.2489158716392021,
HDBSCAN,40,3459,3,0.03703349991701543,,,,828.0,0.2393755420641804,
HDBSCAN,41,3459,3,0.035381708992645144,,,,837.0,0.2419774501300954,
HDBSCAN,42,3459,3,0.037409583921544254,,,,838.0,0.24226655102630817,
HDBSCAN,43,3459,3,0.037396500003524125,,,,824.0,0.2382191384793293,
HDBSCAN,44,3459,3,0.03564895805902779,,,,852.0,0.24631396357328708,
HDBSCAN,45,3459,3,0.03469050000421703,,,,825.0,0.23850823937554205,
HDBSCAN,46,3459,3,0.035546874976716936,,,,818.0,0.2364845331020526,
HDBSCAN,47,3459,3,0.035668374970555305,,,,863.0,0.24949407343162763,
HDBSCAN,48,3459,3,0.03563175001181662,,,,868.0,0.2509395779126915,
HDBSCAN,49,3459,3,0.0352271250449121,,,,839.0,0.24255565192252096,
K-Means,0,3459,3,0.0030266670510172844,,,,,,3369.599173238581
K-Means,1,3459,3,0.0033408330054953694,,,,,,3336.5343874517057
K-Means,2,3459,3,0.003695916966535151,,,,,,3452.103648458232
K-Means,3,3459,3,0.0023377080215141177,,,,,,3409.477908983254
K-Means,4,3459,3,0.002857792074792087,,,,,,3477.2261444437922
K-Means,5,3459,3,0.001899625058285892,,,,,,3441.0572429985145
K-Means,6,3459,3,0.0020190420327708125,,,,,,3359.205747792327
K-Means,7,3459,3,0.0035026660189032555,,,,,,3473.60908972483
K-Means,8,3459,3,0.003493000054731965,,,,,,3418.3755785765306
K-Means,9,3459,3,0.0038654999807476997,,,,,,3409.2652503116187
K-Means,10,3459,3,0.003003958030603826,,,,,,3363.2910610044364
K-Means,11,3459,3,0.002510541002266109,,,,,,3406.0100931642755
K-Means,12,3459,3,0.0031313749495893717,,,,,,3423.079382770564
K-Means,13,3459,3,0.0024803749984130263,,,,,,3340.0492162486785
K-Means,14,3459,3,0.0016942080110311508,,,,,,3473.1607433350273
K-Means,15,3459,3,0.002409290987998247,,,,,,3368.720831090465
K-Means,16,3459,3,0.002719457959756255,,,,,,3443.0792896447406
K-Means,17,3459,3,0.002791415899991989,,,,,,3368.4436262614904
K-Means,18,3459,3,0.0025279170367866755,,,,,,3391.8239804541017
K-Means,19,3459,3,0.0035907499259337783,,,,,,3374.289423383008
K-Means,20,3459,3,0.003533707931637764,,,,,,3425.7691639938303
K-Means,21,3459,3,0.0023177500115707517,,,,,,3480.3277677165843
K-Means,22,3459,3,0.002811665995977819,,,,,,3371.6846813069837
K-Means,23,3459,3,0.002930541057139635,,,,,,3417.1082147672987
K-Means,24,3459,3,0.003379457979463041,,,,,,3437.9850225988275
K-Means,25,3459,3,0.0020296250004321337,,,,,,3478.5198273074643
K-Means,26,3459,3,0.0018927908968180418,,,,,,3456.3555702488634
K-Means,27,3459,3,0.0020568330073729157,,,,,,3457.993120915293
K-Means,28,3459,3,0.0035586660960689187,,,,,,3367.4647717649914
K-Means,29,3459,3,0.002953624934889376,,,,,,3396.604799505787
K-Means,30,3459,3,0.0026658750139176846,,,,,,3520.114775976914
K-Means,31,3459,3,0.002821124973706901,,,,,,3389.099100917275
K-Means,32,3459,3,0.0037007920909672976,,,,,,3442.8949559239913
K-Means,33,3459,3,0.0031856249552220106,,,,,,3513.1618276813288
K-Means,34,3459,3,0.0029030839214101434,,,,,,3367.616462493345
K-Means,35,3459,3,0.003087374963797629,,,,,,3381.919247238355
K-Means,36,3459,3,0.004479666007682681,,,,,,3431.6571228278976
K-Means,37,3459,3,0.002835709019564092,,,,,,3402.680722210327
K-Means,38,3459,3,0.002659749938175082,,,,,,3454.499297730071
K-Means,39,3459,3,0.003802458057180047,,,,,,3481.9945290035894
K-Means,40,3459,3,0.00298866699449718,,,,,,3367.179322106005
K-Means,41,3459,3,0.0033766250126063824,,,,,,3398.764060291166
K-Means,42,3459,3,0.002482583047822118,,,,,,3451.607203979435
K-Means,43,3459,3,0.0034259159583598375,,,,,,3351.577268288511
K-Means,44,3459,3,0.002229416975751519,,,,,,3482.3260322915066
K-Means,45,3459,3,0.00327075005043298,,,,,,3414.0287766830215
K-Means,46,3459,3,0.0021209580590948462,,,,,,3412.216636340998
K-Means,47,3459,3,0.002463374985381961,,,,,,3450.143477660708
K-Means,48,3459,3,0.0019480000482872128,,,,,,3474.4615145594707
K-Means,49,3459,3,0.003579291980713606,,,,,,3452.775082352239
