model,delta_recency,delta_frequency,delta_monetary,delta_mean,delta_min
K-Means,2.246155792021905,1.953322240752271,1.8878734092850151,2.029117147353064,1.8878734092850151
GMM,2.291162463185033,1.98302152937966,1.9386174323532193,2.0709338083059703,1.9386174323532193
HDBSCAN,1.2533373850657115,1.708451896225985,1.487332191574936,1.483040490955544,1.2533373850657115
