model,params,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,mean_ari,std_ari,stability,delta_mean,delta_min,n_segments,customer_coverage,revenue_coverage,norm_silhouette,norm_davies_bouldin,norm_calinski_harabasz,norm_mean_ari,norm_std_ari,norm_delta_mean,norm_n_noise,norm_revenue_coverage,score_quality,score_stability,score_interpretability,score_overall
GMM,"n_components=3, covariance_type=spherical",3,0,0.4144462727151956,0.8166649154826962,4364.692453843249,0.9747189738749508,0.0143342556844348,Rất ổn định,2.0709338083059703,1.9386174323532193,3,0.9999999999999999,1.0,1.0,1.0,0.9874574581641279,0.9815480125157502,0.9808625181656225,1.0,1.0,1.0,0.995819152721376,0.9812052653406864,1.0,0.9923414726873542
K-Means,n_clusters=3,3,0,0.4143288889292787,0.8292628847460749,4389.589668994254,0.975102033829282,0.013626477983438,Rất ổn định,2.029117147353064,1.8878734092850151,3,0.9999999999999998,0.9999999999999999,0.9994453285653373,0.9667501541508088,1.0,1.0,1.0,0.9288703243959809,1.0,0.9999999999999998,0.9887318275720487,1.0,0.9762901081319937,0.9883406452346808
HDBSCAN,"min_cluster_size=50, min_samples=None",3,854,0.2028186701720191,1.1955529656865491,2404.5681736065926,0.9543422129884018,0.050610325028841,Ổn định,1.483040490955544,1.2533373850657117,3,0.8024976873265492,0.4596533460059722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
