model,params,n_iterations,n_pairs,mean_ari,std_ari,min_ari,max_ari,mean_reference_ari,std_reference_ari,mean_n_clusters,min_n_clusters,max_n_clusters,mean_train_time,stability,mean_ari_no_noise,std_ari_no_noise,mean_noise_ratio
K-Means,n_clusters=3,50,1225,0.975102033829282,0.013626477983438015,0.9292787138738364,0.9989202291374459,0.9810691612497849,0.009365767223596414,3.0,3,3,0.0028877948806621135,Rất ổn định,,,
GMM,"n_components=3, covariance_type=spherical",50,1225,0.9747189738749507,0.014334255684434801,0.9206304428443757,1.0,0.9814092060222944,0.00960498373216219,3.0,3,3,0.00518662003800273,Rất ổn định,,,
HDBSCAN,"min_cluster_size=50, min_samples=None",50,1225,0.9543422129884018,0.050610325028841094,0.6893721981926816,0.9811192103534865,0.8918144302004656,0.036482782393693236,3.02,3,4,0.03621594834141433,Ổn định,0.9952790622053003,0.02314939499190185,0.24275224053194563
